ts,OP,GS,IS,BP,PV,SC,MM,Grid,anomalie
2026-06-08 09:39:58,0.0,-110.0,2400.0,563.0,489.0,57.0,0.0,,
2026-06-08 09:39:59,0.0,-50.0,2400.0,549.0,474.0,57.0,0.0,,GS-CHANGE -110->-50
2026-06-08 09:40:00,0.0,-50.0,2400.0,480.0,462.0,57.0,0.0,,
2026-06-08 09:40:01,0.0,-50.0,2400.0,481.0,463.0,57.0,0.0,,
2026-06-08 09:40:02,0.0,-50.0,2400.0,479.0,460.0,57.0,0.0,,
2026-06-08 09:40:03,0.0,40.0,2400.0,476.0,456.0,57.0,0.0,,GS-CHANGE -50->40
2026-06-08 09:40:04,21.0,40.0,2400.0,466.0,455.0,57.0,0.0,,
2026-06-08 09:40:05,31.0,40.0,2400.0,386.0,451.0,57.0,0.0,,
2026-06-08 09:40:07,35.0,40.0,2400.0,378.0,450.0,57.0,0.0,,
2026-06-08 09:40:08,37.0,40.0,2400.0,375.0,448.0,57.0,0.0,,
2026-06-08 09:40:09,46.0,80.0,2400.0,374.0,447.0,57.0,0.0,,
2026-06-08 09:40:10,66.0,80.0,2400.0,337.0,445.0,57.0,0.0,,
2026-06-08 09:40:11,72.0,80.0,2400.0,313.0,429.0,57.0,0.0,,
2026-06-08 09:40:12,76.0,80.0,2400.0,310.0,426.0,57.0,0.0,,
2026-06-08 09:40:13,77.0,80.0,2400.0,308.0,424.0,57.0,0.0,,
2026-06-08 09:40:14,98.0,120.0,2400.0,276.0,424.0,57.0,0.0,,
2026-06-08 09:40:16,110.0,120.0,2400.0,261.0,425.0,57.0,0.0,,
2026-06-08 09:40:17,115.0,120.0,2400.0,265.0,427.0,57.0,0.0,,
2026-06-08 09:40:18,117.0,120.0,2400.0,264.0,432.0,57.0,0.0,,
2026-06-08 09:40:19,124.0,140.0,2400.0,265.0,429.0,57.0,0.0,,
2026-06-08 09:40:20,132.0,140.0,2400.0,218.0,425.0,57.0,0.0,,
2026-06-08 09:40:21,135.0,140.0,2400.0,241.0,423.0,57.0,0.0,,
2026-06-08 09:40:22,137.0,140.0,2400.0,240.0,423.0,57.0,0.0,,
2026-06-08 09:40:23,138.0,140.0,2400.0,240.0,423.0,57.0,0.0,,
2026-06-08 09:40:25,134.0,130.0,2400.0,242.0,423.0,57.0,0.0,,
2026-06-08 09:40:26,130.0,130.0,2400.0,247.0,423.0,57.0,0.0,,
2026-06-08 09:40:27,129.0,130.0,2400.0,247.0,423.0,57.0,0.0,,
2026-06-08 09:40:28,129.0,130.0,2400.0,235.0,407.0,57.0,0.0,,
2026-06-08 09:40:29,120.0,110.0,2400.0,251.0,408.0,57.0,0.0,,
2026-06-08 09:40:30,113.0,110.0,2400.0,264.0,413.0,57.0,0.0,,
2026-06-08 09:40:31,111.0,110.0,2400.0,269.0,416.0,57.0,0.0,,
2026-06-08 09:40:32,109.0,110.0,2400.0,267.0,417.0,57.0,0.0,,
2026-06-08 09:40:33,109.0,80.0,2400.0,272.0,426.0,57.0,0.0,,
2026-06-08 09:40:35,92.0,80.0,2400.0,368.0,429.0,57.0,0.0,,
