category,Netz aktuell,Netz Ø,SunEnergy Ist,SunEnergy Soll,Hoymiles,SunEnergy AC,Hausverbrauch,Batterie SOC,Heizung,Pool,Desk PC,Trockner,Waschmaschine,Server,Bambu H2C,Bambu X1C,Entkalkung,Gaming Monitore,Treppe,Kaffeemaschine,Küche Unterbau 1,Küche Unterbau 2,Küche Unterbau 3,Küche Unterbau 4,Carport Licht 1,Carport Licht 2,Carport Licht 3,Carport Licht 4,Waschküche_licht,Werkstatt_licht,E_Werkstatt_licht
Sat Jun 06 2026,10.08914035087719,8.904424778761062,426.86,430.4,-51.05703422053232,-416.30416666666656,496.98924418604634,75,7.623076923076923,2.818181818181818,129.5409090909091,0,61.00821917808223,16.22280701754386,0,0,1.8788888888888888,34.20260869565218,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,-0.9443409090909086,-0.5875000000000006,496.54,502.1276595744681,-44.69924528301888,-518.0999999999999,549.6709876543209,74,7.618181818181818,2.8299999999999996,133.36285714285717,0,43.71171171171169,15.674545454545457,0,0,1.871666666666667,36.96761904761905,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,1.5133191489361695,1.5127659574468095,485.57,487.95454545454544,-37.80744680851068,-495.2352941176471,536.2884393063586,73,7.627272727272728,2.783333333333333,132.8725,0,32.905,16.387719298245614,0,0,1.8547368421052632,36.86954545454546,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,1.919779999999999,3.111111111111111,504.02,505.2083333333333,-32.64166666666666,-509.03846153846155,545.1161931818183,72,7.658333333333332,2.8499999999999996,134.26176470588234,0,61.7676056338028,16.382456140350875,0,0,1.8765000000000005,36.773809523809526,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,0.9946578947368427,-0.3960526315789483,392.71,393.3333333333333,-24.835971223021588,-402.565,426.8779761904762,72,7.6499999999999995,2.8299999999999996,130.41818181818184,0,27.287500000000005,16.471929824561403,0,0,1.8878947368421055,36.75727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,2.578736842105263,2.3746666666666663,391.15,394.2857142857143,-22.342361111111114,-405.20000000000005,425.93156342182914,71,7.633333333333334,2.8166666666666664,125.7277777777778,0,37.8804347826087,16.003448275862066,0,0,1.8894736842105262,36.70904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,0.9231836734693859,1.9010204081632651,511.53,529.3333333333334,-17.717006802721084,-552.675,544.0460055096418,70,7.709999999999999,2.8499999999999996,127.45294117647057,0,97.51743119266057,16.14736842105263,0,0,1.8566666666666665,36.660869565217396,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,4.894189655172415,4.841379310344826,462.7070707070707,464.54545454545456,-12.324567474048436,-462.8666666666666,487.64137931034486,69,7.709090909090909,2.86,130.68333333333334,0,70.08275862068962,16.687272727272724,0,0,1.8800000000000001,36.61736842105263,0,0,0,0,0,0,3.2,3.05,3.05,3.15,0,0,0
Sat Jun 06 2026,-2.23678,-1.2400000000000002,494.0208333333333,506.27906976744185,-7.859550561797758,-531.6449999999999,510.6389880952378,68,7.75,2.836363636363636,121.46190476190475,0,94.33818181818181,15.556363636363637,0,0,1.8985000000000007,25.805909090909097,0,0,14.92375,14.92375,14.92375,0,3.2,3.05,3.05,3.15,0,0,0
Sat Jun 06 2026,5.377188679245283,3.424528301886793,383.8953488372093,385.8333333333333,-2.5464944649446526,-394.64193548387095,407.58169014084507,68,7.75,2.854545454545454,99.11176470588235,0,66.74,15.8537037037037,0,0,1.8765,0.9328571428571428,0,0,16.56,16.56,16.56,0,0,0,0,0,0,0,0
Sat Jun 06 2026,2.840372549019608,2.8352941176470576,499.64444444444445,503.40425531914894,2.0510869565217393,-513.1705882352942,516.6841269841271,67,7.761538461538461,2.822222222222222,96.22499999999998,0,59.71612903225807,15.805084745762715,0,0,1.887,0.9222727272727272,0,0,16.315714285714286,16.315714285714286,16.315714285714286,0,0,0,0,0,0,0,0
Sat Jun 06 2026,-3.4844250000000017,-2.465000000000001,517.4269662921348,526,7.55,-558.4857142857143,545.2825396825396,66,7.7700000000000005,2.8499999999999996,98.10555555555555,0,90.18125000000002,15.575000000000001,0,0,1.871666666666667,0.9547619047619048,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,2.2037272727272734,1.877272727272727,491.5208333333333,496.1363636363636,7.45,-499.9307692307692,507.1265060240965,65,7.546153846153846,2.8249999999999997,98.34210526315789,0,70.42640449438203,16.01818181818182,0,0,1.89,0.9380952380952382,0,0,15.56578947368421,15.56578947368421,15.56578947368421,0,0,0,0,0,0,0,0
Sat Jun 06 2026,4.249437499999999,4.373958333333335,521.8453608247422,505.80645161290323,7.433333333333334,-513.1615384615385,536.6640624999999,64,7.510000000000001,2.8374999999999995,99.91875,0,97.23714285714286,15.347272727272726,0,0,1.867894736842105,0.9695,0,0,16.721538461538465,16.721538461538465,16.721538461538465,0,0,0,0,0,0,0,0
Sat Jun 06 2026,-19.034945945945942,-19.776388888888896,488.83870967741933,455.2173913043478,7.45,-408.9857142857144,441.9622641509433,63,7.55,2.7769230769230764,97.02941176470587,0,96.09166666666665,15.361818181818188,0,0,1.8885,0.969,2.0766666666666667,0,16.16129032258065,15.663437500000006,15.663437500000006,0,3.2,3.05,3.05,3.15,0,0,0
Sat Jun 06 2026,0.31037931034482763,0.48000000000000026,337.4117647058824,338.3333333333333,7.45,-346.0222222222222,355.25500000000005,63,7.7272727272727275,2.8299999999999996,96.97222222222221,0,2.75,15.51428571428571,0,0,1.8969999999999998,0.9504166666666666,0,0,16.709999999999997,16.709999999999997,16.709999999999997,0,0,0,0,0,0,0,0
Sat Jun 06 2026,-0.36115384615384627,-0.2568627450980392,339.62068965517244,343.0769230769231,7.466666666666666,-348.86249999999995,356.34594594594597,62.0679012345679,7.764285714285713,2.8499999999999996,97.05,0,2.6500000000000004,15.549152542372877,0,0,1.8933333333333329,0.9435,1.67,0,16.711304347826047,16.711304347826047,16.711304347826047,0,0,0,0,0,0,0,0
Sat Jun 06 2026,4.20358064516129,3.8483870967741924,329.7303370786517,340.4166666666667,7.4799999999999995,-348.55833333333334,359.2666666666667,61,7.8,2.866666666666666,110.66250000000002,0,1.3,15.56724137931034,0,0,1.9116666666666664,8.020476190476192,0,0,15.867000000000004,15.867000000000004,15.867000000000004,0,0,0,0,0,0,0,0
Sat Jun 06 2026,1.7249615384615384,2.1117647058823525,413.3370786516854,416,7.6,-417.3,430.5611111111111,61,7.823076923076924,2.846153846153846,124.94375,0,0,15.366071428571425,0,0,1.9178947368421055,37.07521739130435,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,8.261958333333334,8.8,474.34939759036143,487.6923076923077,7.2,-476.0615384615385,493.6200000000002,60,7.5200000000000005,2.7636363636363637,122.9125,0,0,15.379245283018866,0,0,1.8380000000000003,36.92999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,2.2718000000000003,1.516,521.6966292134831,526.3157894736842,7.15,-530.3666666666667,535.0484848484847,59,7.441666666666667,2.7583333333333333,124.0909090909091,0,0,15.578181818181818,0,0,1.8239999999999998,36.82380952380951,0,0,15.428571428571429,15.428571428571429,15.428571428571429,0,0,0,0,0,0,0,0
Sat Jun 06 2026,-2.743,-0.4999999999999999,566.1123595505618,567.0588235294117,7.199999999999999,-578.4166666666666,581.9068965517241,58,7.45,2.7583333333333333,125.16666666666669,0,0,15.741818181818184,0,0,1.8194736842105264,35.71238095238094,2.151666666666667,0,16.456666666666667,16.456666666666667,16.456666666666667,0,0,0,0,0,0,0,0
Sat Jun 06 2026,-10.212500000000002,-10.913333333333334,422.8557692307692,436.4516129032258,7.199999999999999,-440.8076923076923,432.63478260869584,57,7.49,2.7444444444444445,98.16842105263157,0,0,15.30740740740741,0,0,1.7970588235294118,1.7978260869565212,0,0,16.712238805970134,16.712238805970134,16.712238805970134,0,0,0,0,0,0,0,0
Sat Jun 06 2026,9.968806451612906,9.939344262295084,405.2881355932203,427.22222222222223,7.2,-427.43999999999994,435.2000000000001,56.196850393700785,7.492857142857143,2.7555555555555555,125.27027027027027,0,0,15.699999999999996,0,0,1.8047368421052634,25.641363636363636,0,0,16.513411764705857,16.513411764705857,16.513411764705857,0,0,0,0,0,0,0,0
Sat Jun 06 2026,1.5775806451612904,1.5306451612903227,417.038961038961,421.5,7.25,-427.0285714285714,432.88500000000005,56,7.529999999999999,2.75,130.9705882352941,0,0,15.74912280701754,0,0,1.8630000000000002,36.82217391304348,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,4.180740740740741,4.0888888888888895,458.3762376237624,460.4166666666667,7.15,-466.7714285714286,480.36666666666656,55,7.536363636363635,2.775,125.35714285714286,0,0,16.227272727272727,0,0,1.805555555555556,36.74913043478261,0,0,14.8875,14.8875,14.8875,0,0,0,0,0,0,0,0
